review_text,rating,date,review_length
জামার সাথে ওরনার কোনো মিল নাই । ওরনাটা ছেরা দিয়েছে। কালার এর মিল নেই । দারাজ এইসব প্রডাক্ট সেল করা উচিত নয়।  ,5,14 Sep 2025,111
আলহামদুলিল্লাহ যেমন চেয়েছি ঠিক তেমনি পেয়েছি🥰🥰,5,07 Jul 2024,45
অসংখ্য ধন্যবাদ যেভাবে লিখেছেন ঠিক তেমনটা দেয়ার জন্য। সত্যিই মন থেকে দোয়া রইলো কথা কাজে মিল রেখেছেন বলে। কাপড় এবং ডেলিভারি দুটোই সন্তোষজনক ,5,14 Mar 2024,138
product ta khub vlo chilo asha kori vlo hobe ar seller vaiyar bebohar o jothesto vlo 1st daraz theke kapor nilam voye cilam but ja chaici tai paici thanks daraz 😃 😊 ,5,06 Jun 2024,165
জামা সেলোয়ার ওড়না সব সুতি কাপড় ৫৬০ টাকা হিসেবে অনেক ভালো সবাই নিতে পারেন ধন্যবাদ দারাজ ও সেলার কে 😎😎😎😎😎😎😎,5,10 Feb 2024,108
"পণ্য অনেক ভালো আপনারা নিতে পারেন নিঃসন্দেহে
কিন্তু সেলারের বিকাশ ছিলনা তাই একটু সমস্যায় পড়ছিলাম
প্রতিটা সেলার এর কাছে বিকাশ ,নগর ,রকেট একাউন্ট থাকলে ভালো হয়",5,03 Feb 2024,159
"Alhamdulillah  Products  khuboi vlo chilo 
 And Delivery  Service  tao vlo chilo ",5,13 Jan 2024,81
Alhamdulillah onek Valo porce thank you daraz🌺,4,12 Feb 2024,46
"ak kothay★★ osadharon ★★
daraz theke ai prothom bar ato tratari percale peyechi.......
review  option akdin por  pelam tai deri holo.....
thank you laam boutiques ke......& daraz keo....",5,17 Oct 2023,186
"Alhamdullia product ta khub vlo,,kapor ta Amar posundo hoise  ",5,14 Aug 2024,62
আলহামদুলিল্লাহ জামাটা বেশ সুন্দর..কাপড়ের কোয়ালিটি খুবই ভালো...১০০% কটন...খুব দ্রুত  ডেলিভারি পেয়েছি..ধন্যবাদ সেলার  এবং দারাজ কে...,5,16 Sep 2023,134
৩৭০ টাকায় নিয়েছি। দাম হিসেবে কাপড় একদম পারফেক্ট। বাজার থেকে নিলে হয়ত আরো দাম বেশি পড়তো। দারাজ থাকাতে কমে পেলাম৷ ধন্যবাদ জানাচ্ছি দারাজ এবং সেলার উভয়কেই,5,14 Sep 2023,152
"onek sundor,,😍😍
mashaallah😍 ",5,18 Aug 2024,28
