review_text,rating,date,review_length
প্যাকেজিক ঠিক করতে হবে।দারাজকে ডেলিভারিতে ফোকাস করতে হবে। ডেলিভারি ম্যান বেয়াদব  ,4,14 Apr 2025,81
অনেক সুন্দর একটি প্রোডাক্ট খুব সীমিত দামে তাইলে আপনারা সবাই নিতে পারেন  ,5,15 Sep 2025,72
প্যাকেটের রংটা আলাদা হলেও জিনিস ঠিকঠাক ছিল। ,5,05 Dec 2025,44
ডেলিভারিতে আরও যত্নবান হওয়া দরকার ছিলো। ,5,22 Jul 2025,40
valo❣️💪😾,5,30 Nov 2023,8
সেন্ট  অনেক ভালো  ,5,10 Nov 2025,18
packaging : 5/5 ,5,06 Aug 2025,16
Good product 💯 ,5,14 Nov 2025,15
"প্যাকেটের অবস্থা শোচনীয়, এটা কি টেবিলে রাখা যায় ম্যাহমানের সামনে 😡

খুব খারাপ, আমি box unboxing full video রাখছি
 prove হিসেবে। 
লাগলে seller কে দিবো",3,09 Aug 2022,149
এই কিছু প্যাক নেয়া সম্পূর্ণই বোকামি। টিস্যুগুলোর কোয়ান্টিটি বা কোয়ালিটি অরজিনাল বলে মনে হয় না আমার। এগুলো সম্ভবত চকবাজার অর্ডার দিয়ে বানানো। ,5,12 Apr 2025,146
প্রোডাক্ট আলহামদুলিল্লাহ ভালো। কিন্তু ডেলিভারি ম্যানের ব্যবহার অনেক খারাপ উনি আমার দেওয়া লোকেশন থেকে প্রায় দুই কিলোমিটার দূরে যেয়ে প্রডাক্ট রিসিভ করতে বলে নতুবা ওনাকে টিপস দিতে হবে । দারাজের উর্ধ্বতন কর্মকর্তাদেরকে দৃষ্টি আকর্ষণ করছি যেন এই ডেলিভারি ম্যান কে পরিবর্তন করা হোক। এই ডেলিভারি ম্যান থাকাকালীন আমি আর কোনো প্রোডাক্ট কিনবো না । ,5,07 Apr 2025,341
"packaging khub e baje, box theke tissue gula ber kore polythene e dileo parten. No recommended...  ",1,18 Nov 2024,99
কিছুটা ডেলিভারি করার সময় খুব খারাপ পরিস্থিতি ছিল  এত খারাপ ডেলিভারির জন্য আমি এটা আশা করিনি ,5,12 Apr 2025,93
"Very well packaged. came on time. no damage.
thanks ",5,13 Nov 2025,52
এখনও ব্যবহার করিনি ব্যবহার করে তারপর রিভিও দেয়া হবে ,5,31 Jul 2025,52
এককথায় অসাধারণ।। কিন্তু বক্সটা একটু চ্যাপ্টা হয়ে গিয়েছিলো,5,19 Mar 2020,57
"hm asolei valo eita sobai nite paren
💞

 ",5,19 Jul 2025,41
